Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	Solano		42	69.467	.275	402271	4A5344 loc 76	5	Mainline	magnetometers	No	DS960	N5-W-23-080-04200
I80-W	4	Solano		42.01	69.477	2.505	421503	oppo N of university ave	5	Mainline	loops	No	DTEST	L5-W-23-080-04201
I80-W	3	Yolo		.274	72.461	1.124	318102	Richards Blvd	3	Mainline	loops	No		
I80-W	3	Yolo		2	74.187	1.088	318022	West of Mace Blvd	3	Mainline	loops	No		
I80-W	3	Yolo	Davis	2.45	74.637	.75	313979	Mace Blvd.	3	Mainline	loops	No	R196	
I80-W	3	Yolo		3.5	75.687	.775	316788	E. of Mace Blvd	3	Mainline	magnetometers	No		
I80-W	3	Yolo		4	76.187	.501	318068	W of CR 105d	3	Mainline		No		
I80-W	3	Yolo		4.501	76.688	.852	318077	E of CR 105d	3	Mainline	loops	No		
I80-W	3	Yolo		5.704	77.891	1.223	318052	W of Webster UC	3	Mainline	loops	No		
I80-W	3	Yolo		6.947	79.134	1.62	316808	E. of Webster UC	3	Mainline	magnetometers	No		
I80-W	3	Yolo	West Sacramento	8.946	81.133	1.075	317033	JWO Enterprise BL	3	Mainline	magnetometers	No		
I80-W	3	Yolo	West Sacramento	9.099	81.286	.291	318126	Enterprise Blvd	4	Mainline	loops	No		
I80-W	3	Yolo	West Sacramento	R9.53	81.717	.7	318142	E of Enterprise BL	4	Mainline	loops	No		
I80-W	3	Yolo	West Sacramento	R10.5	82.687	.735	316822	W. of Reed Ave.	3	Mainline	magnetometers	No		
I80-W	3	Yolo	West Sacramento	R11	83.187	1.063	317885	Reed Ave	3	Mainline	loops	No		
I80-W	3	Sacramento		M.372	84.277	.709	319142	Bryte Bend Bridge	3	Mainline		No		
I80-W	3	Sacramento		M1.236	85.141	.513	320449	SB W. El Camino Ave	4	Mainline		No		
I80-W	3	Sacramento		1.397	85.302	.217	320429	NB W. El Camino Ave	4	Mainline		No		
I80-W	3	Sacramento		M1.671	85.576	.761	320630	E of West El Camino	4	Mainline		No		
I80-W	3	Sacramento		M1.671	85.576	2.2	320631	E of West El Camino	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M2.918	86.823	.919	320614	San Juan OC	3	Mainline		No		
I80-W	3	Sacramento	Sacramento	M2.918	86.823	.919	320613	San Juan OC	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M3.51	87.415	.39	320499	SB Truxel Rd.	1	HOV		24H	TA-250	
I80-W	3	Sacramento	Sacramento	M3.51	87.415	.386	312326	SB Truxel Rd.	4	Mainline	loops	No	TA-250	
I80-W	3	Sacramento	Sacramento	M3.69	87.595	.491	312346	NB Truxel Rd.	3	Mainline	loops	No	TA-251	
I80-W	3	Sacramento	Sacramento	M3.698	87.603	.448	320589	NB Truxel Rd	1	HOV		24H	TA-251	
I80-W	3	Sacramento	Sacramento	M4.406	88.311	.597	320563	North Freeway	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M4.493	88.398	.6	316160	North Freeway	4	Mainline		No		
I80-W	3	Sacramento	Sacramento	4.891	88.796	.279	320483	SB Northgate Blvd	3	Mainline		No		
I80-W	3	Sacramento	Sacramento	4.891	88.796	.322	320482	SB Northgate Blvd	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M5.05	88.955	.399	320645	NB Northgate Blvd	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M5.05	88.955	.429	320644	NB Northgate Blvd	3	Mainline		No		
I80-W	3	Sacramento	Sacramento	M5.691	89.596	.489	320602	W of Norwood Ave	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M5.75	89.655	.489	317852	W of Norwood Ave	4	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M6.029	89.934	.474	316174	Norwood Ave	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M6.029	89.934	.596	320513	Norwood Ave	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M6.7	90.605	.749	316085	E of Rio Linda Blvd	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M6.883	90.788	.739	320597	E of Rio Linda Blvd	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M7.507	91.412	.675	320662	SB Marysville Blvd	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M7.527	91.432	.461	316001	SB Marysville Blvd	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M7.622	91.527	.323	315982	NB Ralyes Blvd	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M8.175	92.08	.458	316019	Pinell Street OC	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M8.234	92.139	.846	320593	Pinell Street OC	1	HOV		24H		
I80-W	3	Sacramento	Sacramento	M8.54	92.445	.512	316032	Winter St to 80WB	3	Mainline	loops	No		
I80-W	3	Sacramento	Sacramento	M9.2	93.105	.88	313487	Longview Dr.	2	Mainline	loops	No	R101	
I80-W	3	Sacramento	Sacramento	M9.2	93.105	1.033	317064	Longview Dr.	1	HOV	loops	24H	R101	
I80-W	3	Sacramento	Sacramento	M10.3	94.205	1.097	314165	Rt. 244/NB Watt Ave.	2	Mainline	loops	No	RM214	
I80-W	3	Sacramento	Sacramento	M10.3	94.205	1.097	315880	Rt. 244/NB Watt	1	HOV	loops	24H	RM214	
I80-W	3	Sacramento		11.8	95.3	.822	315881	Myrtle Ave.	1	HOV	radars	24H	R107	
I80-W	3	Sacramento		11.8	95.3	.822	313368	Myrtle Ave.	6	Mainline	radars	No	R107	
I80-W	3	Sacramento		12.35	95.85	.35	315882	EB Madison to WB 80	1	HOV	loops	24H		
